day,month,year,time,fluviometry_data
01,01,2016,00:00:00,26.83
02,01,2016,00:00:00,26.88
03,01,2016,00:00:00,26.92
04,01,2016,00:00:00,26.96
05,01,2016,00:00:00,27.01
06,01,2016,00:00:00,27.05
07,01,2016,00:00:00,27.10
08,01,2016,00:00:00,27.12
09,01,2016,00:00:00,27.15
10,01,2016,00:00:00,27.18
11,01,2016,00:00:00,27.20
12,01,2016,00:00:00,27.23
13,01,2016,00:00:00,27.26
14,01,2016,00:00:00,27.32
15,01,2016,00:00:00,27.36
16,01,2016,00:00:00,27.39
17,01,2016,00:00:00,27.42
18,01,2016,00:00:00,27.45
19,01,2016,00:00:00,27.46
20,01,2016,00:00:00,27.49
21,01,2016,00:00:00,27.52
22,01,2016,00:00:00,27.49
23,01,2016,00:00:00,27.46
24,01,2016,00:00:00,27.43
25,01,2016,00:00:00,27.40
26,01,2016,00:00:00,27.33
27,01,2016,00:00:00,27.24
28,01,2016,00:00:00,27.15
29,01,2016,00:00:00,27.03
30,01,2016,00:00:00,26.87
31,01,2016,00:00:00,26.71
01,02,2016,00:00:00,26.56
02,02,2016,00:00:00,26.37
03,02,2016,00:00:00,26.23
04,02,2016,00:00:00,26.04
05,02,2016,00:00:00,25.85
06,02,2016,00:00:00,25.68
07,02,2016,00:00:00,25.54
08,02,2016,00:00:00,25.39
09,02,2016,00:00:00,25.24
10,02,2016,00:00:00,25.10
11,02,2016,00:00:00,24.97
12,02,2016,00:00:00,24.86
13,02,2016,00:00:00,24.75
14,02,2016,00:00:00,24.67
15,02,2016,00:00:00,24.72
16,02,2016,00:00:00,24.77
17,02,2016,00:00:00,24.79
18,02,2016,00:00:00,24.97
19,02,2016,00:00:00,25.17
20,02,2016,00:00:00,25.37
21,02,2016,00:00:00,25.56
22,02,2016,00:00:00,25.80
23,02,2016,00:00:00,26.04
24,02,2016,00:00:00,26.22
25,02,2016,00:00:00,26.44
26,02,2016,00:00:00,26.62
27,02,2016,00:00:00,26.81
28,02,2016,00:00:00,26.97
29,02,2016,00:00:00,27.13
01,03,2016,00:00:00,27.29
02,03,2016,00:00:00,27.54
03,03,2016,00:00:00,27.69
04,03,2016,00:00:00,27.82
05,03,2016,00:00:00,27.95
06,03,2016,00:00:00,28.07
07,03,2016,00:00:00,28.21
08,03,2016,00:00:00,28.31
09,03,2016,00:00:00,28.41
10,03,2016,00:00:00,28.50
11,03,2016,00:00:00,28.57
12,03,2016,00:00:00,28.66
13,03,2016,00:00:00,28.74
14,03,2016,00:00:00,28.82
15,03,2016,00:00:00,28.89
16,03,2016,00:00:00,28.98
17,03,2016,00:00:00,29.07
18,03,2016,00:00:00,29.14
19,03,2016,00:00:00,29.20
20,03,2016,00:00:00,29.27
21,03,2016,00:00:00,29.33
22,03,2016,00:00:00,29.40
23,03,2016,00:00:00,29.46
24,03,2016,00:00:00,29.52
25,03,2016,00:00:00,29.55
26,03,2016,00:00:00,29.58
27,03,2016,00:00:00,29.62
28,03,2016,00:00:00,29.68
29,03,2016,00:00:00,29.81
30,03,2016,00:00:00,29.85
31,03,2016,00:00:00,29.91
01,04,2016,00:00:00,29.96
02,04,2016,00:00:00,30.01
03,04,2016,00:00:00,30.03
04,04,2016,00:00:00,30.13
05,04,2016,00:00:00,30.19
06,04,2016,00:00:00,30.25
07,04,2016,00:00:00,30.31
08,04,2016,00:00:00,30.37
09,04,2016,00:00:00,30.42
10,04,2016,00:00:00,30.48
11,04,2016,00:00:00,30.55
12,04,2016,00:00:00,30.61
13,04,2016,00:00:00,30.68
14,04,2016,00:00:00,30.76
15,04,2016,00:00:00,30.83
16,04,2016,00:00:00,30.89
17,04,2016,00:00:00,30.98
18,04,2016,00:00:00,31.05
19,04,2016,00:00:00,31.12
20,04,2016,00:00:00,31.18
21,04,2016,00:00:00,31.23
22,04,2016,00:00:00,31.30
23,04,2016,00:00:00,31.40
24,04,2016,00:00:00,31.47
25,04,2016,00:00:00,31.52
26,04,2016,00:00:00,31.58
27,04,2016,00:00:00,31.65
28,04,2016,00:00:00,31.74
29,04,2016,00:00:00,31.80
30,04,2016,00:00:00,31.84
01,05,2016,00:00:00,31.89
02,05,2016,00:00:00,31.95
03,05,2016,00:00:00,32.01
04,05,2016,00:00:00,32.07
05,05,2016,00:00:00,32.12
06,05,2016,00:00:00,32.16
07,05,2016,00:00:00,32.20
08,05,2016,00:00:00,32.24
09,05,2016,00:00:00,32.28
10,05,2016,00:00:00,32.31
11,05,2016,00:00:00,32.35
12,05,2016,00:00:00,32.40
13,05,2016,00:00:00,32.41
14,05,2016,00:00:00,32.44
15,05,2016,00:00:00,32.47
16,05,2016,00:00:00,32.50
17,05,2016,00:00:00,32.52
18,05,2016,00:00:00,32.55
19,05,2016,00:00:00,32.58
20,05,2016,00:00:00,32.60
21,05,2016,00:00:00,32.64
22,05,2016,00:00:00,32.64
23,05,2016,00:00:00,32.65
24,05,2016,00:00:00,32.66
25,05,2016,00:00:00,32.71
26,05,2016,00:00:00,32.73
27,05,2016,00:00:00,32.71
28,05,2016,00:00:00,32.72
29,05,2016,00:00:00,32.72
30,05,2016,00:00:00,32.72
31,05,2016,00:00:00,32.72
01,06,2016,00:00:00,32.72
02,06,2016,00:00:00,32.71
03,06,2016,00:00:00,32.71
04,06,2016,00:00:00,32.73
05,06,2016,00:00:00,32.73
06,06,2016,00:00:00,32.72
07,06,2016,00:00:00,32.70
08,06,2016,00:00:00,32.72
09,06,2016,00:00:00,32.72
10,06,2016,00:00:00,32.74
11,06,2016,00:00:00,32.73
12,06,2016,00:00:00,32.72
13,06,2016,00:00:00,32.71
14,06,2016,00:00:00,32.69
15,06,2016,00:00:00,32.69
16,06,2016,00:00:00,32.70
17,06,2016,00:00:00,32.69
18,06,2016,00:00:00,32.68
19,06,2016,00:00:00,32.66
20,06,2016,00:00:00,32.66
21,06,2016,00:00:00,32.67
22,06,2016,00:00:00,32.66
23,06,2016,00:00:00,32.66
24,06,2016,00:00:00,32.66
25,06,2016,00:00:00,32.65
26,06,2016,00:00:00,32.62
27,06,2016,00:00:00,32.60
28,06,2016,00:00:00,32.57
29,06,2016,00:00:00,32.53
30,06,2016,00:00:00,32.49
01,07,2016,00:00:00,32.44
02,07,2016,00:00:00,32.40
03,07,2016,00:00:00,32.35
04,07,2016,00:00:00,32.30
05,07,2016,00:00:00,32.26
06,07,2016,00:00:00,32.23
07,07,2016,00:00:00,32.18
08,07,2016,00:00:00,32.14
09,07,2016,00:00:00,32.08
10,07,2016,00:00:00,32.03
11,07,2016,00:00:00,31.97
12,07,2016,00:00:00,31.92
13,07,2016,00:00:00,31.87
14,07,2016,00:00:00,31.81
15,07,2016,00:00:00,31.76
16,07,2016,00:00:00,31.70
17,07,2016,00:00:00,31.64
18,07,2016,00:00:00,31.57
19,07,2016,00:00:00,31.51
20,07,2016,00:00:00,31.47
21,07,2016,00:00:00,31.42
22,07,2016,00:00:00,31.37
23,07,2016,00:00:00,31.31
24,07,2016,00:00:00,31.25
25,07,2016,00:00:00,31.18
26,07,2016,00:00:00,31.11
27,07,2016,00:00:00,31.03
28,07,2016,00:00:00,30.96
29,07,2016,00:00:00,30.88
30,07,2016,00:00:00,30.79
31,07,2016,00:00:00,30.71
01,08,2016,00:00:00,30.60
02,08,2016,00:00:00,30.51
03,08,2016,00:00:00,30.41
04,08,2016,00:00:00,30.30
05,08,2016,00:00:00,30.19
06,08,2016,00:00:00,30.09
07,08,2016,00:00:00,29.97
08,08,2016,00:00:00,29.86
09,08,2016,00:00:00,29.75
10,08,2016,00:00:00,29.65
11,08,2016,00:00:00,29.54
12,08,2016,00:00:00,29.44
13,08,2016,00:00:00,29.33
14,08,2016,00:00:00,29.27
15,08,2016,00:00:00,29.17
16,08,2016,00:00:00,29.14
17,08,2016,00:00:00,29.02
18,08,2016,00:00:00,28.91
19,08,2016,00:00:00,28.79
20,08,2016,00:00:00,28.66
21,08,2016,00:00:00,28.58
22,08,2016,00:00:00,28.44
23,08,2016,00:00:00,28.30
24,08,2016,00:00:00,28.16
25,08,2016,00:00:00,28.02
26,08,2016,00:00:00,27.89
27,08,2016,00:00:00,27.76
28,08,2016,00:00:00,27.66
29,08,2016,00:00:00,27.49
30,08,2016,00:00:00,27.32
31,08,2016,00:00:00,27.17
01,09,2016,00:00:00,27.04
02,09,2016,00:00:00,26.91
03,09,2016,00:00:00,26.72
04,09,2016,00:00:00,26.53
05,09,2016,00:00:00,26.33
06,09,2016,00:00:00,26.11
07,09,2016,00:00:00,25.88
08,09,2016,00:00:00,25.64
09,09,2016,00:00:00,25.40
10,09,2016,00:00:00,25.14
11,09,2016,00:00:00,24.88
12,09,2016,00:00:00,24.64
13,09,2016,00:00:00,24.38
14,09,2016,00:00:00,24.14
15,09,2016,00:00:00,23.88
16,09,2016,00:00:00,23.72
17,09,2016,00:00:00,23.59
18,09,2016,00:00:00,23.42
19,09,2016,00:00:00,23.27
20,09,2016,00:00:00,23.14
21,09,2016,00:00:00,23.02
22,09,2016,00:00:00,22.91
23,09,2016,00:00:00,22.82
24,09,2016,00:00:00,22.75
25,09,2016,00:00:00,22.69
26,09,2016,00:00:00,22.69
27,09,2016,00:00:00,22.69
28,09,2016,00:00:00,22.75
29,09,2016,00:00:00,22.86
30,09,2016,00:00:00,22.95
01,10,2016,00:00:00,23.09
02,10,2016,00:00:00,23.22
03,10,2016,00:00:00,23.35
04,10,2016,00:00:00,23.49
05,10,2016,00:00:00,23.62
06,10,2016,00:00:00,23.70
07,10,2016,00:00:00,23.83
08,10,2016,00:00:00,23.98
09,10,2016,00:00:00,24.08
10,10,2016,00:00:00,24.17
11,10,2016,00:00:00,24.29
12,10,2016,00:00:00,24.39
13,10,2016,00:00:00,24.46
14,10,2016,00:00:00,24.55
15,10,2016,00:00:00,24.62
16,10,2016,00:00:00,24.69
17,10,2016,00:00:00,24.77
18,10,2016,00:00:00,24.85
19,10,2016,00:00:00,24.91
20,10,2016,00:00:00,24.97
21,10,2016,00:00:00,25.04
22,10,2016,00:00:00,25.09
23,10,2016,00:00:00,25.14
24,10,2016,00:00:00,25.17
25,10,2016,00:00:00,25.26
26,10,2016,00:00:00,25.25
27,10,2016,00:00:00,25.23
28,10,2016,00:00:00,25.20
29,10,2016,00:00:00,25.17
30,10,2016,00:00:00,25.15
31,10,2016,00:00:00,25.14
01,11,2016,00:00:00,25.05
02,11,2016,00:00:00,24.99
03,11,2016,00:00:00,24.89
04,11,2016,00:00:00,24.79
05,11,2016,00:00:00,24.66
06,11,2016,00:00:00,24.49
07,11,2016,00:00:00,24.32
08,11,2016,00:00:00,24.16
09,11,2016,00:00:00,24.00
10,11,2016,00:00:00,23.85
11,11,2016,00:00:00,23.75
12,11,2016,00:00:00,23.68
13,11,2016,00:00:00,23.67
14,11,2016,00:00:00,23.69
15,11,2016,00:00:00,23.70
16,11,2016,00:00:00,23.73
17,11,2016,00:00:00,23.77
18,11,2016,00:00:00,23.85
19,11,2016,00:00:00,23.87
20,11,2016,00:00:00,23.90
21,11,2016,00:00:00,23.87
22,11,2016,00:00:00,23.85
23,11,2016,00:00:00,23.81
24,11,2016,00:00:00,23.81
25,11,2016,00:00:00,23.74
26,11,2016,00:00:00,23.69
27,11,2016,00:00:00,23.64
28,11,2016,00:00:00,23.54
29,11,2016,00:00:00,23.41
30,11,2016,00:00:00,23.27
01,12,2016,00:00:00,23.11
02,12,2016,00:00:00,22.96
03,12,2016,00:00:00,22.82
04,12,2016,00:00:00,22.69
05,12,2016,00:00:00,22.61
06,12,2016,00:00:00,22.53
07,12,2016,00:00:00,22.48
08,12,2016,00:00:00,22.47
09,12,2016,00:00:00,22.49
10,12,2016,00:00:00,22.52
11,12,2016,00:00:00,22.62
12,12,2016,00:00:00,22.69
13,12,2016,00:00:00,22.83
14,12,2016,00:00:00,22.99
15,12,2016,00:00:00,23.15
16,12,2016,00:00:00,23.35
17,12,2016,00:00:00,23.51
18,12,2016,00:00:00,23.71
19,12,2016,00:00:00,23.91
20,12,2016,00:00:00,24.11
21,12,2016,00:00:00,24.35
22,12,2016,00:00:00,24.63
23,12,2016,00:00:00,24.92
24,12,2016,00:00:00,25.16
25,12,2016,00:00:00,25.41
26,12,2016,00:00:00,25.56
27,12,2016,00:00:00,25.75
28,12,2016,00:00:00,25.97
29,12,2016,00:00:00,26.12
30,12,2016,00:00:00,26.27
31,12,2016,00:00:00,26.59